Adam, Zapel,AZ14,CA,TRUE,2876
Al, Dente,AD62,NY,FALSE,9799
Al, Fresco,AF67,CA,TRUE,2311
Al K. , Seltzer,ASG1,NY,FALSE,5243
Alf A., Romeo,ARHC,NY,TRUE,7480
Amanda, Lynn,ALH1,CA,FALSE,8139
Anita, Job,AJ71,NY,TRUE,1712
Anna, Conda,AC4G,NY,TRUE,4354
Anna, Graham,AGB1,NY,FALSE,2969
Anna, Prentice,APL2,CA,TRUE,4408
Anna, Sasin,AS1G,MA,TRUE,9278
Anne, Teak,ATH9,NY,FALSE,5767
B.A., Ware,BW90,NY,TRUE,4780
Barb, Dwyer,BDC1,CA,TRUE,8143
Barb E., Dahl,BD31,CA,FALSE,4755
Barbara, Seville,BS20,WY,TRUE,1219
Barry, Cade,BCG5,WY,TRUE,1979
Bea, Minor,BMJ7,CA,FALSE,2319
Dee, Major,DM78,IL,TRUE,5458
Beau, Tye,BT65,CA,TRUE,7896
Bill, Board,BB53,NY,FALSE,5217
Cara, Van,CV62,NY,TRUE,9195
Chris P., Bacon,CPA1,NY,TRUE,5198
Constance, Noring,CN6T,CA,TRUE,2954
Crystal, Ball,CB41,NY,TRUE,6736
Crystal, Glass,CGG4,IL,FALSE,8148
Earl Lee, Riser,ER39,CA,TRUE,8455
Easton, West,EW12,IL,FALSE,7657
Ferris, Wheeler,FW36,NY,FALSE,1986
Flint, Sparks,F613,CA,TRUE,1988
Franklin, Stein,FS13,NY,TRUE,4348
Gene, Poole,GP19,NY,FALSE,8626
Heidi, Clare,HC84,CA,TRUE,2550
Helen, Back,HBB5,NY,TRUE,2329
Helen, Wiells,HW03,NY,TRUE,568
Holly, McRell,HM00,CA,TRUE,4287
Holly, Wood,HW32,NY,TRUE,9207
Jack, Pott,JP87,CA,TRUE,407
Joe, Kerr,JK87,IL,TRUE,5387
Joy, Rider,JR64,NY,TRUE,1713
Justin, Case,JCT1,MA,TRUE,9211
Justin, Time,JT13,CA,TRUE,2912
Kandi, Apple,KA74,IL,TRUE,9622
Laura, Norder,LNB4,IL,FALSE,8278
Leigh, King,LK71,WY,TRUE,1202
Luke, Warm,LW13,IL,TRUE,8996
Marsha, Mellow,MM44,CA,FALSE,6858
Marshall, Law,MLQ3,NY,TRUE,7707
Marty, Graw,MG63,IL,TRUE,8709
Olive, Branch,OB63,IL,FALSE,9782
Paige, Turner,PTC8,WY,TRUE,9678
Pepe, Roni,PR94,CA,TRUE,4272
Price, Wright,PW17,NY,TRUE,4731
Rocky, Beach,RB12,CA,TRUE,364
Sandy, Beach,SB12,CA,TRUE,3327
Sal A., Mander,SM62,CA,TRUE,4710
Stanley, Cupp,SC89,IL,FALSE,2989
Tom, Morrow,TM43,IL,TRUE,8682
Warren, Peace,WP90,IL,TRUE,9655
Will, Power,WP91,NY,FALSE,5809
X., Benedict,XB43,NY,TRUE,5183
